smell_type,severity,LOC,NOM,LOC_method,CYCLO_method,NOP_method,NEST,TOKEN_COUNT,LENGTH,FAN_IN,FAN_OUT,ATTR_COUNT,INHERIT_DEPTH
LongParameterList,2,0,0,66,9,8,3,295,67,0,3,0,0
LongParameterList,2,0,0,33,9,10,1,209,33,0,0,0,0
LargeClass,2,330,21,0,0,0,0,2226,330,0,39,1,0
LongParameterList,1,0,0,105,25,7,3,614,151,0,22,0,0
LongParameterList,1,0,0,35,6,6,1,81,43,0,3,0,0
LongMethod,1,0,0,60,16,1,7,356,63,0,4,0,0
LongMethod,2,0,0,85,18,10,5,577,107,0,10,0,0
LongParameterList,3,0,0,112,11,45,4,564,120,0,4,0,0
DeepNesting,1,0,0,75,13,1,4,360,93,0,13,0,0
LongParameterList,1,0,0,39,8,7,3,334,39,0,1,0,0
LongMethod,1,0,0,53,11,2,0,389,59,0,0,0,0
DeepNesting,1,0,0,89,15,10,5,1056,111,0,19,0,0
DeepNesting,2,0,0,219,25,0,7,1846,246,0,29,0,0
NoneSmellorUnknown,0,0,0,7,2,1,1,34,8,0,1,0,0
LongParameterList,3,0,0,48,24,10,5,240,53,0,16,0,0
LargeClass,2,374,22,0,0,0,0,1752,374,0,21,43,0
LongMethod,2,0,0,76,25,2,5,583,145,0,5,0,0
LongMethod,3,0,0,102,11,3,4,271,112,0,6,0,0
LongMethod,2,0,0,89,20,10,5,723,141,0,14,0,0
LongMethod,2,0,0,96,25,3,2,874,114,0,3,0,0
LongMethod,3,0,0,361,18,1,1,1375,373,0,11,0,0
DeepNesting,3,0,0,24,15,3,8,343,25,0,13,0,0
DeepNesting,1,0,0,98,19,3,5,545,119,0,8,0,0
LongParameterList,3,0,0,70,14,11,4,345,153,0,15,0,0
LongParameterList,3,0,0,57,19,18,2,336,86,0,7,0,0
NoneSmellorUnknown,0,0,0,11,1,0,1,118,16,0,2,0,0
LongParameterList,1,0,0,75,25,6,5,753,101,0,17,0,0
DeepNesting,2,0,0,16,7,2,6,214,16,0,1,0,0
LongParameterList,2,0,0,56,11,8,3,358,66,0,15,0,0
LongMethod,3,0,0,110,10,2,4,1114,145,0,4,0,0
DeepNesting,2,0,0,29,16,3,6,205,37,0,4,0,0
LongMethod,3,0,0,112,25,2,4,520,159,0,7,0,0
DeepNesting,1,0,0,23,8,2,5,171,30,0,3,0,0
LongMethod,2,0,0,98,25,5,4,586,161,0,15,0,0
LargeClass,2,319,18,0,0,0,0,904,319,0,28,15,2
DeepNesting,3,0,0,79,25,5,17,473,89,0,10,0,0
NoneSmellorUnknown,0,0,0,5,1,1,0,74,6,0,3,0,0
